areaType,areaName,areaCode,date,variants
nation,England,E92000001,2023-01-01,"[{'variant': 'Other', 'cumWeeklySequenced': 2366843.0, 'newWeeklyPercentage': 4.59}, {'variant': 'V-20DEC-01 (Alpha)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21APR-02 (Delta B.1.617.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21OCT-01 (Delta AY 4.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-22DEC-01 (Omicron CH.1.1)', 'cumWeeklySequenced': 2366843.0, 'newWeeklyPercentage': 24.56}, {'variant': 'V-22JUL-01 (Omicron BA.2.75)', 'cumWeeklySequenced': 2366843.0, 'newWeeklyPercentage': 8.93}, {'variant': 'V-22OCT-01 (Omicron BQ.1)', 'cumWeeklySequenced': 2366843.0, 'newWeeklyPercentage': 49.57}, {'variant': 'VOC-21NOV-01 (Omicron BA.1)', 'cumWeeklySequenced': 2366843.0, 'newWeeklyPercentage': 0.02}, {'variant': 'VOC-22APR-03 (Omicron BA.4)', 'cumWeeklySequenced': 2366843.0, 'newWeeklyPercentage': 0.08}, {'variant': 'VOC-22APR-04 (Omicron BA.5)', 'cumWeeklySequenced': 2366843.0, 'newWeeklyPercentage': 5.59}, {'variant': 'VOC-22JAN-01 (Omicron BA.2)', 'cumWeeklySequenced': 2366843.0, 'newWeeklyPercentage': 1.41}, {'variant': 'unclassified_variant', 'cumWeeklySequenced': 2366843.0, 'newWeeklyPercentage': 5.26}]"
nation,England,E92000001,2022-12-25,"[{'variant': 'Other', 'cumWeeklySequenced': 2361745.0, 'newWeeklyPercentage': 5.09}, {'variant': 'V-20DEC-01 (Alpha)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21APR-02 (Delta B.1.617.2)', 'cumWeeklySequenced': 2361745.0, 'newWeeklyPercentage': 0.02}, {'variant': 'V-21OCT-01 (Delta AY 4.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-22DEC-01 (Omicron CH.1.1)', 'cumWeeklySequenced': 2361745.0, 'newWeeklyPercentage': 21.5}, {'variant': 'V-22JUL-01 (Omicron BA.2.75)', 'cumWeeklySequenced': 2361745.0, 'newWeeklyPercentage': 7.71}, {'variant': 'V-22OCT-01 (Omicron BQ.1)', 'cumWeeklySequenced': 2361745.0, 'newWeeklyPercentage': 52.5}, {'variant': 'VOC-21NOV-01 (Omicron BA.1)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'VOC-22APR-03 (Omicron BA.4)', 'cumWeeklySequenced': 2361745.0, 'newWeeklyPercentage': 0.06}, {'variant': 'VOC-22APR-04 (Omicron BA.5)', 'cumWeeklySequenced': 2361745.0, 'newWeeklyPercentage': 7.58}, {'variant': 'VOC-22JAN-01 (Omicron BA.2)', 'cumWeeklySequenced': 2361745.0, 'newWeeklyPercentage': 1.15}, {'variant': 'unclassified_variant', 'cumWeeklySequenced': 2361745.0, 'newWeeklyPercentage': 4.38}]"
nation,England,E92000001,2022-12-18,"[{'variant': 'Other', 'cumWeeklySequenced': 2355574.0, 'newWeeklyPercentage': 5.69}, {'variant': 'V-20DEC-01 (Alpha)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21APR-02 (Delta B.1.617.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21OCT-01 (Delta AY 4.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-22DEC-01 (Omicron CH.1.1)', 'cumWeeklySequenced': 2355574.0, 'newWeeklyPercentage': 16.47}, {'variant': 'V-22JUL-01 (Omicron BA.2.75)', 'cumWeeklySequenced': 2355574.0, 'newWeeklyPercentage': 6.74}, {'variant': 'V-22OCT-01 (Omicron BQ.1)', 'cumWeeklySequenced': 2355574.0, 'newWeeklyPercentage': 58.91}, {'variant': 'VOC-21NOV-01 (Omicron BA.1)', 'cumWeeklySequenced': 2355574.0, 'newWeeklyPercentage': 0.03}, {'variant': 'VOC-22APR-03 (Omicron BA.4)', 'cumWeeklySequenced': 2355574.0, 'newWeeklyPercentage': 0.03}, {'variant': 'VOC-22APR-04 (Omicron BA.5)', 'cumWeeklySequenced': 2355574.0, 'newWeeklyPercentage': 9.67}, {'variant': 'VOC-22JAN-01 (Omicron BA.2)', 'cumWeeklySequenced': 2355574.0, 'newWeeklyPercentage': 0.61}, {'variant': 'unclassified_variant', 'cumWeeklySequenced': 2355574.0, 'newWeeklyPercentage': 1.85}]"
nation,England,E92000001,2022-12-11,"[{'variant': 'Other', 'cumWeeklySequenced': 2348719.0, 'newWeeklyPercentage': 6.47}, {'variant': 'V-20DEC-01 (Alpha)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21APR-02 (Delta B.1.617.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21OCT-01 (Delta AY 4.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-22DEC-01 (Omicron CH.1.1)', 'cumWeeklySequenced': 2348719.0, 'newWeeklyPercentage': 13.02}, {'variant': 'V-22JUL-01 (Omicron BA.2.75)', 'cumWeeklySequenced': 2348719.0, 'newWeeklyPercentage': 7.78}, {'variant': 'V-22OCT-01 (Omicron BQ.1)', 'cumWeeklySequenced': 2348719.0, 'newWeeklyPercentage': 60.92}, {'variant': 'VOC-21NOV-01 (Omicron BA.1)', 'cumWeeklySequenced': 2348719.0, 'newWeeklyPercentage': 0.02}, {'variant': 'VOC-22APR-03 (Omicron BA.4)', 'cumWeeklySequenced': 2348719.0, 'newWeeklyPercentage': 0.06}, {'variant': 'VOC-22APR-04 (Omicron BA.5)', 'cumWeeklySequenced': 2348719.0, 'newWeeklyPercentage': 10.17}, {'variant': 'VOC-22JAN-01 (Omicron BA.2)', 'cumWeeklySequenced': 2348719.0, 'newWeeklyPercentage': 0.66}, {'variant': 'unclassified_variant', 'cumWeeklySequenced': 2348719.0, 'newWeeklyPercentage': 0.9}]"
nation,England,E92000001,2022-12-04,"[{'variant': 'Other', 'cumWeeklySequenced': 2342475.0, 'newWeeklyPercentage': 5.72}, {'variant': 'V-20DEC-01 (Alpha)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21APR-02 (Delta B.1.617.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21OCT-01 (Delta AY 4.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-22DEC-01 (Omicron CH.1.1)', 'cumWeeklySequenced': 2342475.0, 'newWeeklyPercentage': 9.91}, {'variant': 'V-22JUL-01 (Omicron BA.2.75)', 'cumWeeklySequenced': 2342475.0, 'newWeeklyPercentage': 9.57}, {'variant': 'V-22OCT-01 (Omicron BQ.1)', 'cumWeeklySequenced': 2342475.0, 'newWeeklyPercentage': 60.33}, {'variant': 'VOC-21NOV-01 (Omicron BA.1)', 'cumWeeklySequenced': 2342475.0, 'newWeeklyPercentage': 0.02}, {'variant': 'VOC-22APR-03 (Omicron BA.4)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'VOC-22APR-04 (Omicron BA.5)', 'cumWeeklySequenced': 2342475.0, 'newWeeklyPercentage': 13.85}, {'variant': 'VOC-22JAN-01 (Omicron BA.2)', 'cumWeeklySequenced': 2342475.0, 'newWeeklyPercentage': 0.34}, {'variant': 'unclassified_variant', 'cumWeeklySequenced': 2342475.0, 'newWeeklyPercentage': 0.25}]"
nation,England,E92000001,2022-11-27,"[{'variant': 'Other', 'cumWeeklySequenced': 2338036.0, 'newWeeklyPercentage': 6.02}, {'variant': 'V-20DEC-01 (Alpha)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21APR-02 (Delta B.1.617.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21OCT-01 (Delta AY 4.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-22DEC-01 (Omicron CH.1.1)', 'cumWeeklySequenced': 2338036.0, 'newWeeklyPercentage': 6.93}, {'variant': 'V-22JUL-01 (Omicron BA.2.75)', 'cumWeeklySequenced': 2338036.0, 'newWeeklyPercentage': 9.58}, {'variant': 'V-22OCT-01 (Omicron BQ.1)', 'cumWeeklySequenced': 2338036.0, 'newWeeklyPercentage': 59.73}, {'variant': 'VOC-21NOV-01 (Omicron BA.1)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'VOC-22APR-03 (Omicron BA.4)', 'cumWeeklySequenced': 2338036.0, 'newWeeklyPercentage': 0.03}, {'variant': 'VOC-22APR-04 (Omicron BA.5)', 'cumWeeklySequenced': 2338036.0, 'newWeeklyPercentage': 17.01}, {'variant': 'VOC-22JAN-01 (Omicron BA.2)', 'cumWeeklySequenced': 2338036.0, 'newWeeklyPercentage': 0.52}, {'variant': 'unclassified_variant', 'cumWeeklySequenced': 2338036.0, 'newWeeklyPercentage': 0.17}]"
nation,England,E92000001,2022-11-20,"[{'variant': 'Other', 'cumWeeklySequenced': 2334415.0, 'newWeeklyPercentage': 7.17}, {'variant': 'V-20DEC-01 (Alpha)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21APR-02 (Delta B.1.617.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21OCT-01 (Delta AY 4.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-22DEC-01 (Omicron CH.1.1)', 'cumWeeklySequenced': 2334415.0, 'newWeeklyPercentage': 6.4}, {'variant': 'V-22JUL-01 (Omicron BA.2.75)', 'cumWeeklySequenced': 2334415.0, 'newWeeklyPercentage': 9.58}, {'variant': 'V-22OCT-01 (Omicron BQ.1)', 'cumWeeklySequenced': 2334415.0, 'newWeeklyPercentage': 55.03}, {'variant': 'VOC-21NOV-01 (Omicron BA.1)', 'cumWeeklySequenced': 2334415.0, 'newWeeklyPercentage': 0.04}, {'variant': 'VOC-22APR-03 (Omicron BA.4)', 'cumWeeklySequenced': 2334415.0, 'newWeeklyPercentage': 0.11}, {'variant': 'VOC-22APR-04 (Omicron BA.5)', 'cumWeeklySequenced': 2334415.0, 'newWeeklyPercentage': 21.12}, {'variant': 'VOC-22JAN-01 (Omicron BA.2)', 'cumWeeklySequenced': 2334415.0, 'newWeeklyPercentage': 0.48}, {'variant': 'unclassified_variant', 'cumWeeklySequenced': 2334415.0, 'newWeeklyPercentage': 0.07}]"
nation,England,E92000001,2022-11-13,"[{'variant': 'Other', 'cumWeeklySequenced': 2331711.0, 'newWeeklyPercentage': 5.72}, {'variant': 'V-20DEC-01 (Alpha)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21APR-02 (Delta B.1.617.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21OCT-01 (Delta AY 4.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-22DEC-01 (Omicron CH.1.1)', 'cumWeeklySequenced': 2331711.0, 'newWeeklyPercentage': 2.86}, {'variant': 'V-22JUL-01 (Omicron BA.2.75)', 'cumWeeklySequenced': 2331711.0, 'newWeeklyPercentage': 9.09}, {'variant': 'V-22OCT-01 (Omicron BQ.1)', 'cumWeeklySequenced': 2331711.0, 'newWeeklyPercentage': 53.37}, {'variant': 'VOC-21NOV-01 (Omicron BA.1)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'VOC-22APR-03 (Omicron BA.4)', 'cumWeeklySequenced': 2331711.0, 'newWeeklyPercentage': 0.04}, {'variant': 'VOC-22APR-04 (Omicron BA.5)', 'cumWeeklySequenced': 2331711.0, 'newWeeklyPercentage': 28.83}, {'variant': 'VOC-22JAN-01 (Omicron BA.2)', 'cumWeeklySequenced': 2331711.0, 'newWeeklyPercentage': 0.08}, {'variant': 'unclassified_variant', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}]"
nation,England,E92000001,2022-11-06,"[{'variant': 'Other', 'cumWeeklySequenced': 2329335.0, 'newWeeklyPercentage': 6.17}, {'variant': 'V-20DEC-01 (Alpha)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21APR-02 (Delta B.1.617.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21OCT-01 (Delta AY 4.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-22DEC-01 (Omicron CH.1.1)', 'cumWeeklySequenced': 2329335.0, 'newWeeklyPercentage': 1.64}, {'variant': 'V-22JUL-01 (Omicron BA.2.75)', 'cumWeeklySequenced': 2329335.0, 'newWeeklyPercentage': 10.89}, {'variant': 'V-22OCT-01 (Omicron BQ.1)', 'cumWeeklySequenced': 2329335.0, 'newWeeklyPercentage': 46.86}, {'variant': 'VOC-21NOV-01 (Omicron BA.1)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'VOC-22APR-03 (Omicron BA.4)', 'cumWeeklySequenced': 2329335.0, 'newWeeklyPercentage': 0.21}, {'variant': 'VOC-22APR-04 (Omicron BA.5)', 'cumWeeklySequenced': 2329335.0, 'newWeeklyPercentage': 33.83}, {'variant': 'VOC-22JAN-01 (Omicron BA.2)', 'cumWeeklySequenced': 2329335.0, 'newWeeklyPercentage': 0.41}, {'variant': 'unclassified_variant', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}]"
nation,England,E92000001,2022-10-30,"[{'variant': 'Other', 'cumWeeklySequenced': 2326902.0, 'newWeeklyPercentage': 5.56}, {'variant': 'V-20DEC-01 (Alpha)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-21APR-02 (Delta B.1.617.2)', 'cumWeeklySequenced': 2326902.0, 'newWeeklyPercentage': 0.04}, {'variant': 'V-21OCT-01 (Delta AY 4.2)', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}, {'variant': 'V-22DEC-01 (Omicron CH.1.1)', 'cumWeeklySequenced': 2326902.0, 'newWeeklyPercentage': 0.85}, {'variant': 'V-22JUL-01 (Omicron BA.2.75)', 'cumWeeklySequenced': 2326902.0, 'newWeeklyPercentage': 7.89}, {'variant': 'V-22OCT-01 (Omicron BQ.1)', 'cumWeeklySequenced': 2326902.0, 'newWeeklyPercentage': 39.48}, {'variant': 'VOC-21NOV-01 (Omicron BA.1)', 'cumWeeklySequenced': 2326902.0, 'newWeeklyPercentage': 0.04}, {'variant': 'VOC-22APR-03 (Omicron BA.4)', 'cumWeeklySequenced': 2326902.0, 'newWeeklyPercentage': 0.11}, {'variant': 'VOC-22APR-04 (Omicron BA.5)', 'cumWeeklySequenced': 2326902.0, 'newWeeklyPercentage': 45.48}, {'variant': 'VOC-22JAN-01 (Omicron BA.2)', 'cumWeeklySequenced': 2326902.0, 'newWeeklyPercentage': 0.56}, {'variant': 'unclassified_variant', 'cumWeeklySequenced': 0.0, 'newWeeklyPercentage': 0.0}]"
